0, -3.98749, 0.000166667, 9.1706, 
0.1, -3.98746, 0.0168333, 9.1706, 
0.2, -3.98735, 0.0334996, 9.1706, 
0.3, -3.98718, 0.0501653, 9.1706, 
0.4, -3.98693, 0.0668302, 9.1706, 
0.5, -3.98662, 0.0834939, 9.1706, 
0.6, -3.98623, 0.100156, 9.1706, 
0.7, -3.98578, 0.116817, 9.1706, 
0.8, -3.98526, 0.133475, 9.1706, 
0.9, -3.98467, 0.150131, 9.1706, 
1, -3.984, 0.166785, 9.1706, 
1.1, -3.98327, 0.183435, 9.1706, 
1.2, -3.98247, 0.200083, 9.1706, 
1.3, -3.9816, 0.216727, 9.1706, 
1.4, -3.98066, 0.233367, 9.1706, 
1.5, -3.97965, 0.250003, 9.1706, 
1.6, -3.97857, 0.266634, 9.1706, 
1.7, -3.97742, 0.283261, 9.1706, 
1.8, -3.9762, 0.299883, 9.1706, 
1.9, -3.97492, 0.3165, 9.1706, 
2, -3.97356, 0.333112, 9.1706, 
2.1, -3.97213, 0.349717, 9.1706, 
2.2, -3.97064, 0.366316, 9.1706, 
2.3, -3.96907, 0.382909, 9.1706, 
2.4, -3.96744, 0.399496, 9.1706, 
2.5, -3.96573, 0.416075, 9.1706, 
2.6, -3.96396, 0.432647, 9.1706, 
2.7, -3.96212, 0.449212, 9.1706, 
2.8, -3.9602, 0.465768, 9.1706, 
2.9, -3.95822, 0.482317, 9.1706, 
3, -3.95617, 0.498857, 9.1706, 
3.1, -3.95405, 0.515388, 9.1706, 
3.2, -3.95187, 0.531911, 9.1706, 
3.3, -3.94961, 0.548424, 9.1706, 
3.4, -3.94728, 0.564927, 9.1706, 
3.5, -3.94489, 0.581421, 9.1706, 
3.6, -3.94242, 0.597904, 9.1706, 
3.7, -3.93989, 0.614377, 9.1706, 
3.8, -3.93729, 0.630839, 9.1706, 
3.9, -3.93462, 0.647291, 9.1706, 
4, -3.93188, 0.663731, 9.1706, 
4.1, -3.92907, 0.680159, 9.1706, 
4.2, -3.92619, 0.696576, 9.1706, 
4.3, -3.92325, 0.71298, 9.1706, 
4.4, -3.92023, 0.729372, 9.1706, 
4.5, -3.91715, 0.745751, 9.1706, 
4.6, -3.914, 0.762117, 9.1706, 
4.7, -3.91078, 0.77847, 9.1706, 
4.8, -3.90749, 0.794809, 9.1706, 
4.9, -3.90414, 0.811134, 9.1706, 
5, -3.90071, 0.827445, 9.1706, 
5.1, -3.89722, 0.843742, 9.1706, 
5.2, -3.89366, 0.860024, 9.1706, 
5.3, -3.89003, 0.876291, 9.1706, 
5.4, -3.88633, 0.892543, 9.1706, 
5.5, -3.88257, 0.908779, 9.1706, 
5.6, -3.87874, 0.924999, 9.1706, 
5.7, -3.87484, 0.941203, 9.1706, 
5.8, -3.87087, 0.95739, 9.1706, 
5.9, -3.86684, 0.973561, 9.1706, 
6, -3.86273, 0.989715, 9.1706, 
6.1, -3.85856, 1.00585, 9.1706, 
6.2, -3.85433, 1.02197, 9.1706, 
6.3, -3.85002, 1.03807, 9.1706, 
6.4, -3.84565, 1.05415, 9.1706, 
6.5, -3.84121, 1.07022, 9.1706, 
6.6, -3.8367, 1.08626, 9.1706, 
6.7, -3.83213, 1.10229, 9.1706, 
6.8, -3.82749, 1.1183, 9.1706, 
6.9, -3.82278, 1.13429, 9.1706, 
7, -3.81801, 1.15026, 9.1706, 
7.1, -3.81317, 1.1662, 9.1706, 
7.2, -3.80826, 1.18213, 9.1706, 
7.3, -3.80329, 1.19804, 9.1706, 
7.4, -3.79825, 1.21393, 9.1706, 
7.5, -3.79314, 1.22979, 9.1706, 
7.6, -3.78797, 1.24563, 9.1706, 
7.7, -3.78273, 1.26146, 9.1706, 
7.8, -3.77742, 1.27726, 9.1706, 
7.9, -3.77205, 1.29303, 9.1706, 
8, -3.76661, 1.30879, 9.1706, 
8.1, -3.76111, 1.32452, 9.1706, 
8.2, -3.75554, 1.34023, 9.1706, 
8.3, -3.74991, 1.35591, 9.1706, 
8.4, -3.74421, 1.37158, 9.1706, 
8.5, -3.73844, 1.38721, 9.1706, 
8.6, -3.73261, 1.40283, 9.1706, 
8.7, -3.72672, 1.41842, 9.1706, 
8.8, -3.72076, 1.43398, 9.1706, 
8.9, -3.71473, 1.44952, 9.1706, 
9, -3.70864, 1.46503, 9.1706, 
9.1, -3.70248, 1.48052, 9.1706, 
9.2, -3.69626, 1.49598, 9.1706, 
9.3, -3.68998, 1.51142, 9.1706, 
9.4, -3.68363, 1.52683, 9.1706, 
9.5, -3.67722, 1.54221, 9.1706, 
9.6, -3.67074, 1.55757, 9.1706, 
9.7, -3.6642, 1.5729, 9.1706, 
9.8, -3.65759, 1.5882, 9.1706, 
9.9, -3.65092, 1.60347, 9.1706, 
10, -3.64419, 1.61872, 9.1706, 
10.1, -3.63739, 1.63394, 9.1706, 
10.2, -3.63053, 1.64913, 9.1706, 
10.3, -3.62361, 1.66429, 9.1706, 
10.4, -3.61662, 1.67942, 9.1706, 
10.5, -3.60957, 1.69452, 9.1706, 
10.6, -3.60245, 1.70959, 9.1706, 
10.7, -3.59528, 1.72463, 9.1706, 
10.8, -3.58804, 1.73965, 9.1706, 
10.9, -3.58073, 1.75463, 9.1706, 
11, -3.57337, 1.76958, 9.1706, 
11.1, -3.56594, 1.7845, 9.1706, 
11.2, -3.55845, 1.79939, 9.1706, 
11.3, -3.5509, 1.81425, 9.1706, 
11.4, -3.54329, 1.82907, 9.1706, 
11.5, -3.53561, 1.84387, 9.1706, 
11.6, -3.52788, 1.85863, 9.1706, 
